"location","source","target"
"gnowsys_ndf/ndf/templates/ndf/theMDhelp.html:91 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:13","Help Videos - Mathemactics",
"gnowsys_ndf/ndf/templates/ndf/theSDTelgu.html:64 gnowsys_ndf/ndf/templates/ndf/theSDhindi.html:65","Design And Development-Science",
"gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:34"," Help Videos -Science",
"gnowsys_ndf/ndf/templates/ndf/thehelpmodal.html:26","Help Videos",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Captcha.html:44","invalid captcha Try Again",
"gnowsys_ndf/ndf/templates/ndf/base_templates/DocumentList.html:8 gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:8 gnowsys_ndf/ndf/templates/ndf/base_templates/file.html:291","Files Listed below are already uploaded. Duplicate file uploads are not possible.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/DocumentList.html:18 gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:38","File Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/DocumentList.html:19 gnowsys_ndf/ndf/templates/ndf/base_templates/DocumentList.html:25 gnowsys_ndf/ndf/templates/ndf/base_templates/version_page.html:35","View",
"gnowsys_ndf/ndf/templates/ndf/base_templates/ImageDashboard.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:148 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:544 gnowsys_ndf/ndf/templates/ndf/base_templates/videoDashboard.html:131","Only image files can be uploaded!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:90 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:65","Editing Event:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:93 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:67","Create a New",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:93 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_report.html:56 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:339","Event",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:194","Module:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:206","Sessions:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:238","Remainig time (in minutes):",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:246","Alloted time (in minutes):",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Nussd_event_Schedule.html:263 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_report.html:57","Voluntary Teacher",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:41 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:41 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:41","Uploading",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:42 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:42 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:42","You can upload <b>files</b> of any format to your group library.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:57 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:57","New File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:84 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:39 gnowsys_ndf/ndf/templates/ndf/base_templates/action_panel.html:171 gnowsys_ndf/ndf/templates/ndf/base_templates/custom_template_for_app.html:417 gnowsys_ndf/ndf/templates/ndf/base_templates/file.html:229 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:53 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_create_edit.html:285 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:84","Upload File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:87 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:42 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:55 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:87","Choose File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:48 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:57 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:89","Title of File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:94 gnowsys_ndf/ndf/templates/ndf/base_templates/add_asset.html:182 gnowsys_ndf/ndf/templates/ndf/base_templates/create_unit.html:90 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:62","Select Language",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:108 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:77 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:108","Add Description",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:112 gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:124 gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:135 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:66 gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_note.html:21 gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_note.html:33 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:100 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:112 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:124 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:135 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:33 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:45","Add Tag",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:124 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:70 gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_note.html:21 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:124 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:33","Tags help identify similiar work easily. Just add tag text and click Add Tag button",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_note.html:29 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:96 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:41","Add tag text and click on [Add Tag] button",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:144 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:94 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:109 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:144 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:94","Non empty tags can have only alphanumeric characters, dash(-) and spaces.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:169 gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:182 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:134 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:96 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:215 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:134 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:147 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:96 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:222 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:100 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:107 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:169 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:182","Public",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:172 gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:186 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:136 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:92 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:99 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_create_edit.html:218 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:137 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:151 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:92 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:99 gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:225 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:103 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:110 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:177 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:172 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:186","Private",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:199 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:273 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:164 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:199","Depending on the size of file/s and your Internet speed, upload process may take time. Please do not close this window.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:201 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:274 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:166 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:201","Please upload videos in webm format. If you upload videos of other formats, it will take longer to publish them.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/UploadDoc.html:205 gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:290 gnowsys_ndf/ndf/templates/ndf/base_templates/filehive.html:170 gnowsys_ndf/ndf/templates/ndf/base_templates/uploadjhapp.html:205","You are not an authorised user. Please login to upload files.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:57 gnowsys_ndf/ndf/templates/ndf/base_templates/file_statistics.html:68 gnowsys_ndf/ndf/templates/ndf/base_templates/visualize.html:168","Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/Upload_File.html:73","Add one tag at a time",
